region_name,created
Turkmenistan,2018-10-01T13:35:51+00:00
Tuvalu,2018-10-01T13:35:51+00:00
Uganda,2018-10-01T13:35:51+00:00
Ukraine,2018-10-01T13:35:51+00:00
United Arab Emirates,2018-10-01T13:35:51+00:00
United Kingdom,2018-10-01T13:35:51+00:00
United States of America,2018-10-01T13:35:51+00:00
Uruguay,2018-10-01T13:35:51+00:00
Uzbekistan,2018-10-01T13:35:51+00:00
Vanuatu,2018-10-01T13:35:51+00:00
Venezuela,2018-10-01T13:35:51+00:00
Vietnam,2018-10-01T13:35:51+00:00
Yemen,2018-10-01T13:35:51+00:00
Zambia,2018-10-01T13:35:51+00:00
Zimbabwe,2018-10-01T13:35:51+00:00
